id,Marca,Modelo,Ano,Valor,Codigo Fipe
RIGUETE - TRC-01 RGT-5 1.6 - 2018,RIGUETE,TRC-01 RGT-5 1.6,2018,R$ 47.541,00, 880012-0
RIGUETE - TRC-01 JUNIOR SE 1.8 - 2012,RIGUETE,TRC-01 JUNIOR SE 1.8,2012,R$ 23.196,00, 880002-2
POLARIS - RZR PRO XP PREMIUM Turbo 4x4 (UTV) - 2021,POLARIS,RZR PRO XP PREMIUM Turbo 4x4 (UTV),2021,R$ 139.211,00, 884016-4
POLARIS - Ranger 1000 4x4 (UTV) - 2021,POLARIS,Ranger 1000 4x4 (UTV),2021,R$ 84.736,00, 884015-6
RIGUETE - TRC-01 RGT-5 1.6 - 32000,RIGUETE,TRC-01 RGT-5 1.6,32000,R$ 76.021,00, 880012-0
RIGUETE - TRC-01 JUNIOR SE 1.8 - 2010,RIGUETE,TRC-01 JUNIOR SE 1.8,2010,R$ 19.007,00, 880002-2
POLARIS - RZR S 900 EPS 4x4 (UTV) - 2020,POLARIS,RZR S 900 EPS 4x4 (UTV),2020,R$ 68.969,00, 884006-7
POLARIS - Ranger 570 4x4 (UTV) - 2014,POLARIS,Ranger 570 4x4 (UTV),2014,R$ 25.759,00, 884005-9
MVK - MA/ BLACK STAR 125-7 - 2007,MVK,MA/ BLACK STAR 125-7,2007,R$ 2.414,00, 845003-0
RIGUETE - TRC-01 SUPER LUXO SE 1.8 - 2014,RIGUETE,TRC-01 SUPER LUXO SE 1.8,2014,R$ 29.410,00, 880010-3
POLARIS - Ranger 570 4x4 (UTV) - 2021,POLARIS,Ranger 570 4x4 (UTV),2021,R$ 68.713,00, 884005-9
POLARIS - Ranger 570 4x4 (UTV) - 2020,POLARIS,Ranger 570 4x4 (UTV),2020,R$ 58.485,00, 884005-9
SUNDOWN - PALIO 50cc - 1998,SUNDOWN,PALIO 50cc,1998,R$ 1.090,00, 824005-1
MAGRÃO TRICICLOS - MT7 CHOPPER 1.6 Pop - 2016,MAGRÃO TRICICLOS,MT7 CHOPPER 1.6 Pop,2016,R$ 31.432,00, 873003-2
RIGUETE - TRC-01 RGT-5 1.6 - 2019,RIGUETE,TRC-01 RGT-5 1.6,2019,R$ 52.368,00, 880012-0
POLARIS - Ranger 1000 4x4 (UTV) - 2020,POLARIS,Ranger 1000 4x4 (UTV),2020,R$ 77.640,00, 884015-6
POLARIS - RZR S 900 EPS 4x4 (UTV) - 2018,POLARIS,RZR S 900 EPS 4x4 (UTV),2018,R$ 54.869,00, 884006-7
POLARIS - Ranger 570 4x4 (UTV) - 2018,POLARIS,Ranger 570 4x4 (UTV),2018,R$ 42.995,00, 884005-9
POLARIS - RZR XP TURBO 4x4 (UTV) - 2018,POLARIS,RZR XP TURBO 4x4 (UTV),2018,R$ 81.209,00, 884009-1
MVK - SIMBA 50 QUADRICICLO - 2011,MVK,SIMBA 50 QUADRICICLO,2011,R$ 1.958,00, 845017-0
POLARIS - Ranger 1000 4x4 (UTV) - 32000,POLARIS,Ranger 1000 4x4 (UTV),32000,R$ 93.587,00, 884015-6
POLARIS - RZR S 900 EPS 4x4 (UTV) - 2015,POLARIS,RZR S 900 EPS 4x4 (UTV),2015,R$ 37.175,00, 884006-7
MAGRÃO TRICICLOS - MT7 CHOPPER 1.6 Pop - 2014,MAGRÃO TRICICLOS,MT7 CHOPPER 1.6 Pop,2014,R$ 23.920,00, 873003-2
RIGUETE - TRC-01 RGT-5 1.6 - 2022,RIGUETE,TRC-01 RGT-5 1.6,2022,R$ 69.423,00, 880012-0
MVK - MA 125-GY - 2006,MVK,MA 125-GY,2006,R$ 2.097,00, 845004-8
MOTORINO - Star 200cc - 2013,MOTORINO,Star 200cc,2013,R$ 7.359,00, 881002-8
POLARIS - Sportsman 570 EFI Touri. 4x4 Quadriciclo - 2020,POLARIS,Sportsman 570 EFI Touri. 4x4 Quadriciclo,2020,R$ 42.819,00, 884003-2
POLARIS - RZR S4 1000 EPS 4x4 (UTV) - 2020,POLARIS,RZR S4 1000 EPS 4x4 (UTV),2020,R$ 89.746,00, 884013-0
RIGUETE - TRC-01 LUXO 1.6 - 2011,RIGUETE,TRC-01 LUXO 1.6,2011,R$ 20.505,00, 880003-0
POLARIS - RZR S 900 EPS 4x4 (UTV) - 2019,POLARIS,RZR S 900 EPS 4x4 (UTV),2019,R$ 58.749,00, 884006-7
POLARIS - RZR XP TURBO 4x4 (UTV) - 2016,POLARIS,RZR XP TURBO 4x4 (UTV),2016,R$ 60.586,00, 884009-1
RIGUETE - TRC-01 LUXO 1.6 - 2018,RIGUETE,TRC-01 LUXO 1.6,2018,R$ 36.851,00, 880003-0
RIGUETE - TRC-01 LUXO 1.6 - 2012,RIGUETE,TRC-01 LUXO 1.6,2012,R$ 22.576,00, 880003-0
RIGUETE - TRC-01 GRAN LUXO 1.8 - 2017,RIGUETE,TRC-01 GRAN LUXO 1.8,2017,R$ 45.475,00, 880011-1
POLARIS - RZR XP TURBO 4x4 (UTV) - 2019,POLARIS,RZR XP TURBO 4x4 (UTV),2019,R$ 93.772,00, 884009-1
POLARIS - Ranger 570 4x4 (UTV) - 2017,POLARIS,Ranger 570 4x4 (UTV),2017,R$ 37.369,00, 884005-9
POLARIS - RZR S 900 EPS 4x4 (UTV) - 32000,POLARIS,RZR S 900 EPS 4x4 (UTV),32000,R$ 72.024,00, 884006-7
RIGUETE - TRC-01 JUNIOR 1.8 - 32000,RIGUETE,TRC-01 JUNIOR 1.8,32000,R$ 36.990,00, 880001-4
RIGUETE - TRC-01 LUXO 1.6 - 2010,RIGUETE,TRC-01 LUXO 1.6,2010,R$ 18.549,00, 880003-0
RIGUETE - TRC-01 GRAN LUXO 1.8 - 2014,RIGUETE,TRC-01 GRAN LUXO 1.8,2014,R$ 36.275,00, 880011-1
RIGUETE - TRC-01 GRAN LUXO 1.8 - 2016,RIGUETE,TRC-01 GRAN LUXO 1.8,2016,R$ 39.573,00, 880011-1
POLARIS - RZR S4 1000 EPS 4x4 (UTV) - 32000,POLARIS,RZR S4 1000 EPS 4x4 (UTV),32000,R$ 95.032,00, 884013-0
RIGUETE - TRC-01 VERSÃO 2 1.8 - 2009,RIGUETE,TRC-01 VERSÃO 2 1.8,2009,R$ 18.177,00, 880008-1
POLARIS - RZR XP TURBO 4x4 (UTV) - 2017,POLARIS,RZR XP TURBO 4x4 (UTV),2017,R$ 68.523,00, 884009-1
MOTORINO - Star 200cc - 2012,MOTORINO,Star 200cc,2012,R$ 6.676,00, 881002-8
KTM - 1190 RC8 - 2010,KTM,1190 RC8,2010,R$ 45.579,00, 818029-6
KTM - ADVENTURE 640 ST - 2002,KTM,ADVENTURE 640 ST,2002,R$ 12.717,00, 818001-6
RIGUETE - TRC-01 GRAN LUXO 1.6 - 32000,RIGUETE,TRC-01 GRAN LUXO 1.6,32000,R$ 71.019,00, 880006-5
KTM - ADVENTURE 640 ST - 2006,KTM,ADVENTURE 640 ST,2006,R$ 19.144,00, 818001-6
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2015,RIGUETE,TRC-01 GRAN LUXO 1.6,2015,R$ 37.927,00, 880006-5
KTM - ADVENTURE 640 ST - 2001,KTM,ADVENTURE 640 ST,2001,R$ 12.229,00, 818001-6
KTM - 690 ENDURO /ENDURO R - 2009,KTM,690 ENDURO /ENDURO R,2009,R$ 26.106,00, 818028-8
POLARIS - RZR PRO XP ULTIMATE Turbo 4x4 (UTV) - 2021,POLARIS,RZR PRO XP ULTIMATE Turbo 4x4 (UTV),2021,R$ 139.658,00, 884017-2
POLARIS - RZR PRO XP ULTIMATE Turbo 4x4 (UTV) - 2020,POLARIS,RZR PRO XP ULTIMATE Turbo 4x4 (UTV),2020,R$ 123.160,00, 884017-2
KTM - ADVENTURE 640 ST - 2003,KTM,ADVENTURE 640 ST,2003,R$ 14.640,00, 818001-6
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2021,RIGUETE,TRC-01 GRAN LUXO 1.6,2021,R$ 66.255,00, 880006-5
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2019,RIGUETE,TRC-01 GRAN LUXO 1.6,2019,R$ 51.783,00, 880006-5
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2022,RIGUETE,TRC-01 GRAN LUXO 1.6,2022,R$ 68.125,00, 880006-5
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2014,RIGUETE,TRC-01 GRAN LUXO 1.6,2014,R$ 36.156,00, 880006-5
KTM - 1190 RC8 R - 2010,KTM,1190 RC8 R,2010,R$ 47.960,00, 818035-0
KTM - 690 ENDURO /ENDURO R - 2011,KTM,690 ENDURO /ENDURO R,2011,R$ 40.560,00, 818028-8
KTM - ADVENTURE 640 ST - 2007,KTM,ADVENTURE 640 ST,2007,R$ 20.608,00, 818001-6
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2018,RIGUETE,TRC-01 GRAN LUXO 1.6,2018,R$ 47.116,00, 880006-5
KTM - ADVENTURE 640 ST - 2005,KTM,ADVENTURE 640 ST,2005,R$ 18.543,00, 818001-6
KTM - 1190 RC8 R - 2011,KTM,1190 RC8 R,2011,R$ 54.919,00, 818035-0
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2017,RIGUETE,TRC-01 GRAN LUXO 1.6,2017,R$ 43.077,00, 880006-5
KTM - 690 ENDURO /ENDURO R - 2010,KTM,690 ENDURO /ENDURO R,2010,R$ 32.196,00, 818028-8
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2016,RIGUETE,TRC-01 GRAN LUXO 1.6,2016,R$ 39.147,00, 880006-5
KTM - 1190 RC8 - 2009,KTM,1190 RC8,2009,R$ 43.958,00, 818029-6
KTM - 1190 RC8 - 2011,KTM,1190 RC8,2011,R$ 53.618,00, 818029-6
KTM - ADVENTURE 640 ST - 2004,KTM,ADVENTURE 640 ST,2004,R$ 17.370,00, 818001-6
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2013,RIGUETE,TRC-01 GRAN LUXO 1.6,2013,R$ 33.281,00, 880006-5
RIGUETE - TRC-01 GRAN LUXO 1.6 - 2020,RIGUETE,TRC-01 GRAN LUXO 1.6,2020,R$ 55.374,00, 880006-5
POLARIS - RZR PRO XP ULTIMATE Turbo 4x4 (UTV) - 32000,POLARIS,RZR PRO XP ULTIMATE Turbo 4x4 (UTV),32000,R$ 178.990,00, 884017-2
BRP - can-am DS 250 EFI 4X2 Quadr. - 32000,BRP,can-am DS 250 EFI 4X2 Quadr.,32000,R$ 40.970,00, 864005-0
BRP - can-am DS 90 4X2 Quadriciclo - 32000,BRP,can-am DS 90 4X2 Quadriciclo,32000,R$ 20.967,00, 864036-0
BRP - can-am DS 90 4X2 Quadriciclo - 2022,BRP,can-am DS 90 4X2 Quadriciclo,2022,R$ 18.867,00, 864036-0
BRP - can-am DS 90 4X2 Quadriciclo - 2018,BRP,can-am DS 90 4X2 Quadriciclo,2018,R$ 13.199,00, 864036-0
BRP - can-am DS 90 4X2 Quadriciclo - 2021,BRP,can-am DS 90 4X2 Quadriciclo,2021,R$ 17.473,00, 864036-0
BRP - can-am DS 250 EFI 4X2 Quadr. - 2022,BRP,can-am DS 250 EFI 4X2 Quadr.,2022,R$ 37.544,00, 864005-0
BRP - can-am Outlander 450 4X4 Quadriciclo - 2021,BRP,can-am Outlander 450 4X4 Quadriciclo,2021,R$ 54.383,00, 864050-5
HONDA - LEAD 110 - 2015,HONDA,LEAD 110,2015,R$ 8.646,00, 811099-9
KAWASAKI - AVAJET 100cc/ CLASSIC 100cc - 1997,KAWASAKI,AVAJET 100cc/ CLASSIC 100cc,1997,R$ 1.794,00, 817034-7
BRP - can-am Outlander 450 4X4 Quadriciclo - 32000,BRP,can-am Outlander 450 4X4 Quadriciclo,32000,R$ 57.919,00, 864050-5
KAWASAKI - D-TRACKER X 250cc - 2011,KAWASAKI,D-TRACKER X 250cc,2011,R$ 9.939,00, 817050-9
HONDA - GOLD WING TOUR 1800 - 32000,HONDA,GOLD WING TOUR 1800,32000,R$ 286.098,00, 811155-3
HAOBAO - HB110-3 - 2014,HAOBAO,HB110-3,2014,R$ 2.325,00, 856002-1
KAWASAKI - CONCOURS14 1352cc - 2013,KAWASAKI,CONCOURS14 1352cc,2013,R$ 51.048,00, 817044-4
KAWASAKI - CONCOURS14 1352cc - 2008,KAWASAKI,CONCOURS14 1352cc,2008,R$ 30.492,00, 817044-4
KAWASAKI - ER-5 500cc - 1999,KAWASAKI,ER-5 500cc,1999,R$ 8.977,00, 817003-7
KAWASAKI - ER-5 500cc - 1998,KAWASAKI,ER-5 500cc,1998,R$ 7.317,00, 817003-7
KAWASAKI - CONCOURS14 1352cc - 2012,KAWASAKI,CONCOURS14 1352cc,2012,R$ 41.547,00, 817044-4
HAOBAO - HB110-3 - 2010,HAOBAO,HB110-3,2010,R$ 2.105,00, 856002-1
KAWASAKI - KX 250/ 250 F - 32000,KAWASAKI,KX 250/ 250 F,32000,R$ 56.029,00, 817030-4
KAWASAKI - KX 250/ 250 F - 2014,KAWASAKI,KX 250/ 250 F,2014,R$ 24.989,00, 817030-4
KAWASAKI - KX 250/ 250 F - 2022,KAWASAKI,KX 250/ 250 F,2022,R$ 53.694,00, 817030-4
HAOBAO - HB150-T R5 FEARFULSPEED - 2007,HAOBAO,HB150-T R5 FEARFULSPEED,2007,R$ 2.468,00, 856003-0
HAOBAO - HB150-T R5 FEARFULSPEED - 2008,HAOBAO,HB150-T R5 FEARFULSPEED,2008,R$ 2.593,00, 856003-0
KAWASAKI - KX 250/ 250 F - 2016,KAWASAKI,KX 250/ 250 F,2016,R$ 30.012,00, 817030-4
KAWASAKI - KX 250/ 250 F - 2021,KAWASAKI,KX 250/ 250 F,2021,R$ 52.220,00, 817030-4
HAOBAO - HB110-3 - 2011,HAOBAO,HB110-3,2011,R$ 2.180,00, 856002-1
KAWASAKI - ER-5 500cc - 2000,KAWASAKI,ER-5 500cc,2000,R$ 10.503,00, 817003-7
KAWASAKI - KX 250/ 250 F - 2015,KAWASAKI,KX 250/ 250 F,2015,R$ 25.694,00, 817030-4
HONDA - NX 200 - 2000,HONDA,NX 200,2000,R$ 4.982,00, 811031-0
KAWASAKI - KX 250/ 250 F - 2010,KAWASAKI,KX 250/ 250 F,2010,R$ 17.114,00, 817030-4
KAWASAKI - KX 250/ 250 F - 2013,KAWASAKI,KX 250/ 250 F,2013,R$ 23.507,00, 817030-4
KAWASAKI - KX 250/ 250 F - 2001,KAWASAKI,KX 250/ 250 F,2001,R$ 7.156,00, 817030-4
HONDA - NX 200 - 1993,HONDA,NX 200,1993,R$ 3.406,00, 811031-0
KAWASAKI - KX 250/ 250 F - 2005,KAWASAKI,KX 250/ 250 F,2005,R$ 9.995,00, 817030-4
HONDA - NX 200 - 1998,HONDA,NX 200,1998,R$ 4.638,00, 811031-0
KAWASAKI - KX 250/ 250 F - 2007,KAWASAKI,KX 250/ 250 F,2007,R$ 12.905,00, 817030-4
KAWASAKI - KLX 650 - 1996,KAWASAKI,KLX 650,1996,R$ 12.966,00, 817032-0
KAWASAKI - KX 250/ 250 F - 2002,KAWASAKI,KX 250/ 250 F,2002,R$ 7.692,00, 817030-4
BRP - can-am Maverick X3 MAX DS Turbo (UTV) - 2021,BRP,can-am Maverick X3 MAX DS Turbo (UTV),2021,R$ 119.894,00, 864048-3
KAWASAKI - KLX 110 - 2009,KAWASAKI,KLX 110,2009,R$ 3.450,00, 817045-2
HONDA - LEAD 110 - 2016,HONDA,LEAD 110,2016,R$ 8.889,00, 811099-9
KAWASAKI - KLX 650 - 1995,KAWASAKI,KLX 650,1995,R$ 9.264,00, 817032-0
HONDA - NX 200 - 2001,HONDA,NX 200,2001,R$ 5.853,00, 811031-0
HAOBAO - HB110-3 - 2009,HAOBAO,HB110-3,2009,R$ 2.035,00, 856002-1
HAOBAO - HB110-3 - 2008,HAOBAO,HB110-3,2008,R$ 1.950,00, 856002-1
KAWASAKI - KX 250 X - 32000,KAWASAKI,KX 250 X,32000,R$ 58.278,00, 817085-1
KAWASAKI - KLX 110 - 2022,KAWASAKI,KLX 110,2022,R$ 14.116,00, 817045-2
KAWASAKI - KX 250 X - 2022,KAWASAKI,KX 250 X,2022,R$ 55.511,00, 817085-1
HONDA - NX 200 - 1994,HONDA,NX 200,1994,R$ 4.122,00, 811031-0
KAWASAKI - KLX 110 - 32000,KAWASAKI,KLX 110,32000,R$ 15.287,00, 817045-2
HONDA - NX 200 - 1999,HONDA,NX 200,1999,R$ 4.768,00, 811031-0
KAWASAKI - KLX 110 - 2010,KAWASAKI,KLX 110,2010,R$ 3.548,00, 817045-2
HAOBAO - HB125-9 FEARFULSPEED - 2011,HAOBAO,HB125-9 FEARFULSPEED,2011,R$ 2.942,00, 856001-3
HAOBAO - HB125-9 FEARFULSPEED - 2009,HAOBAO,HB125-9 FEARFULSPEED,2009,R$ 2.838,00, 856001-3
KAWASAKI - KX 250 X - 2021,KAWASAKI,KX 250 X,2021,R$ 52.612,00, 817085-1
KTM - ADVENTURE R / DAKAR 990cc - 2011,KTM,ADVENTURE R / DAKAR 990cc,2011,R$ 46.418,00, 818032-6
KAWASAKI - KX 250/ 250 F - 2006,KAWASAKI,KX 250/ 250 F,2006,R$ 12.173,00, 817030-4
HONDA - NX 200 - 1997,HONDA,NX 200,1997,R$ 4.509,00, 811031-0
HONDA - NX 200 - 1995,HONDA,NX 200,1995,R$ 4.238,00, 811031-0
KAWASAKI - KLX 250 - 1994,KAWASAKI,KLX 250,1994,R$ 4.706,00, 817033-9
HAOBAO - HB125-9 FEARFULSPEED - 2014,HAOBAO,HB125-9 FEARFULSPEED,2014,R$ 3.293,00, 856001-3
KTM - ADVENTURE R / DAKAR 990cc - 2010,KTM,ADVENTURE R / DAKAR 990cc,2010,R$ 44.814,00, 818032-6
KTM - ADVENTURE 1190 R - 2016,KTM,ADVENTURE 1190 R,2016,R$ 104.589,00, 818044-0
KAWASAKI - KLX 650 - 1994,KAWASAKI,KLX 650,1994,R$ 7.474,00, 817032-0
HONDA - NX 200 - 1996,HONDA,NX 200,1996,R$ 4.357,00, 811031-0
KAWASAKI - KLX 110 - 2020,KAWASAKI,KLX 110,2020,R$ 12.861,00, 817045-2
KAWASAKI - NINJA 250R - 2010,KAWASAKI,NINJA 250R,2010,R$ 12.193,00, 817049-5
KAWASAKI - KZ 1000 TOURING - 2001,KAWASAKI,KZ 1000 TOURING,2001,R$ 30.350,00, 817026-6
KAWASAKI - NINJA 250R - 2011,KAWASAKI,NINJA 250R,2011,R$ 12.843,00, 817049-5
KAWASAKI - KLX 250 - 1996,KAWASAKI,KLX 250,1996,R$ 6.170,00, 817033-9
KAWASAKI - KX 125 - 2001,KAWASAKI,KX 125,2001,R$ 5.256,00, 817031-2
HAOBAO - HB125-9 FEARFULSPEED - 2008,HAOBAO,HB125-9 FEARFULSPEED,2008,R$ 2.373,00, 856001-3
KAWASAKI - NINJA 250R - 2012,KAWASAKI,NINJA 250R,2012,R$ 13.368,00, 817049-5
KAWASAKI - KZ 1000 TOURING - 2002,KAWASAKI,KZ 1000 TOURING,2002,R$ 32.994,00, 817026-6
HONDA - GOLD WING 1500/ 1800 - 32000,HONDA,GOLD WING 1500/ 1800,32000,R$ 162.599,00, 811027-1
KAWASAKI - KX 125 - 2002,KAWASAKI,KX 125,2002,R$ 5.826,00, 817031-2
KAWASAKI - NINJA 250R - 2008,KAWASAKI,NINJA 250R,2008,R$ 9.636,00, 817049-5
KAWASAKI - KX 125 - 2003,KAWASAKI,KX 125,2003,R$ 6.622,00, 817031-2
KAWASAKI - NINJA 250R - 2009,KAWASAKI,NINJA 250R,2009,R$ 11.825,00, 817049-5
KAWASAKI - KLX 250 - 1995,KAWASAKI,KLX 250,1995,R$ 5.244,00, 817033-9
HAOBAO - HB 50Q - 2012,HAOBAO,HB 50Q,2012,R$ 1.988,00, 856005-6
BMW - S 1000 RR - 32000,BMW,S 1000 RR,32000,R$ 121.566,00, 803041-3
BMW - S 1000 RR - 2022,BMW,S 1000 RR,2022,R$ 115.221,00, 803041-3
BRP - can-am Spyder Daytona 1330 F3-S - 2017,BRP,can-am Spyder Daytona 1330 F3-S,2017,R$ 94.211,00, 864034-3
DAYUN - DY125T-10 - 2011,DAYUN,DY125T-10,2011,R$ 4.106,00, 860002-3
BMW - S 1000 RR - 2020,BMW,S 1000 RR,2020,R$ 106.873,00, 803041-3
DAYUN - DY125T-10 - 2010,DAYUN,DY125T-10,2010,R$ 3.560,00, 860002-3
BRP - can-am Maver. X3 MAX XRS TB 900 RR (UTV) - 32000,BRP,can-am Maver. X3 MAX XRS TB 900 RR (UTV),32000,R$ 239.626,00, 864045-9
BRP - can-am Maver. X3 MAX XRS TB 900 RR (UTV) - 2021,BRP,can-am Maver. X3 MAX XRS TB 900 RR (UTV),2021,R$ 198.337,00, 864045-9
BRP - can-am DS 90 4X2 Quadriciclo - 2020,BRP,can-am DS 90 4X2 Quadriciclo,2020,R$ 16.485,00, 864036-0
BMW - R 1200 GS Adventure - 2014,BMW,R 1200 GS Adventure,2014,R$ 58.396,00, 803029-4
BMW - R 1200 GS Adventure - 2010,BMW,R 1200 GS Adventure,2010,R$ 44.950,00, 803029-4
BMW - R 1200 GS Adventure - 2017,BMW,R 1200 GS Adventure,2017,R$ 81.770,00, 803029-4
BMW - S 1000 RR - 2016,BMW,S 1000 RR,2016,R$ 76.861,00, 803041-3
GARINNI - GR250T3 - 2009,GARINNI,GR250T3,2009,R$ 7.856,00, 847010-3
BMW - R 1200 GS Adventure - 2019,BMW,R 1200 GS Adventure,2019,R$ 89.278,00, 803029-4
GARINNI - GR250T3 - 2008,GARINNI,GR250T3,2008,R$ 7.640,00, 847010-3
BMW - R 1200 GS Adventure - 2009,BMW,R 1200 GS Adventure,2009,R$ 43.716,00, 803029-4
BMW - R 1200 GS Adventure - 2013,BMW,R 1200 GS Adventure,2013,R$ 56.793,00, 803029-4
BMW - R 1200 GS Adventure - 2011,BMW,R 1200 GS Adventure,2011,R$ 48.705,00, 803029-4
BMW - R 1200 GS Adventure - 2016,BMW,R 1200 GS Adventure,2016,R$ 72.188,00, 803029-4
BMW - R 1200 GS Adventure - 2018,BMW,R 1200 GS Adventure,2018,R$ 86.829,00, 803029-4
BMW - R 1200 GS Adventure - 2015,BMW,R 1200 GS Adventure,2015,R$ 68.544,00, 803029-4
BMW - R 1200 GS Adventure - 2012,BMW,R 1200 GS Adventure,2012,R$ 51.217,00, 803029-4
BRP - can-am DS 90 4X2 Quadriciclo - 2019,BRP,can-am DS 90 4X2 Quadriciclo,2019,R$ 14.034,00, 864036-0
BRP - can-am DS 250 EFI 4X2 Quadr. - 2019,BRP,can-am DS 250 EFI 4X2 Quadr.,2019,R$ 28.689,00, 864005-0
BULL - BM-T180 - 2020,BULL,BM-T180,2020,R$ 11.601,00, 888011-5
BULL - Eko Sport 1200W (Elétrica) - 2021,BULL,Eko Sport 1200W (Elétrica),2021,R$ 14.204,00, 888014-0
BMW - S 1000 RR - 2014,BMW,S 1000 RR,2014,R$ 67.368,00, 803041-3
BMW - R 1200 GS Adventure - 2007,BMW,R 1200 GS Adventure,2007,R$ 38.408,00, 803029-4
byCristo - Triciclo Star II Top / Super Top - 2001,byCristo,Triciclo Star II Top / Super Top,2001,R$ 16.798,00, 842003-3
BULL - NOW 125 - 2021,BULL,NOW 125,2021,R$ 9.470,00, 888003-4
BMW - S 1000 RR - 2012,BMW,S 1000 RR,2012,R$ 59.129,00, 803041-3
BULL - KRC F5-LX 50 - 2019,BULL,KRC F5-LX 50,2019,R$ 6.346,00, 888010-7
BULL - KRC LIV-50 - 2020,BULL,KRC LIV-50,2020,R$ 7.384,00, 888002-6
byCristo - Triciclo Star II Top / Super Top - 2000,byCristo,Triciclo Star II Top / Super Top,2000,R$ 15.798,00, 842003-3
BULL - BM-S 180 - 32000,BULL,BM-S 180,32000,R$ 13.351,00, 888006-9
BULL - Spirit SE 50 - 2021,BULL,Spirit SE 50,2021,R$ 8.961,00, 888013-1
BULL - Ciclo City Veloce 1000W (Elétrica) - 32000,BULL,Ciclo City Veloce 1000W (Elétrica),32000,R$ 10.223,00, 888007-7
BMW - S 1000 RR - 2021,BMW,S 1000 RR,2021,R$ 112.061,00, 803041-3
BULL - KRC LIV-50 - 2019,BULL,KRC LIV-50,2019,R$ 6.073,00, 888002-6
BULL - BM-S 180 - 2021,BULL,BM-S 180,2021,R$ 12.854,00, 888006-9
BRP - can-am Maverick X3 MAX DS Turbo (UTV) - 32000,BRP,can-am Maverick X3 MAX DS Turbo (UTV),32000,R$ 126.891,00, 864048-3
BULL - Eko Sport 1200W (Elétrica) - 32000,BULL,Eko Sport 1200W (Elétrica),32000,R$ 14.890,00, 888014-0
BULL - BM-S 180 - 2020,BULL,BM-S 180,2020,R$ 11.575,00, 888006-9
BMW - S 1000 RR - 2019,BMW,S 1000 RR,2019,R$ 90.637,00, 803041-3
BULL - Eko City 1200W (Elétrica) - 2019,BULL,Eko City 1200W (Elétrica),2019,R$ 7.859,00, 888005-0
BMW - S 1000 RR - 2011,BMW,S 1000 RR,2011,R$ 53.762,00, 803041-3
BULL - Spirit SE 50 - 32000,BULL,Spirit SE 50,32000,R$ 9.290,00, 888013-1
BULL - Café Racer B31 - 2019,BULL,Café Racer B31,2019,R$ 7.927,00, 888009-3
BULL - KRC LIV-50 - 32000,BULL,KRC LIV-50,32000,R$ 8.206,00, 888002-6
BRP - can-am DS 250 EFI 4X2 Quadr. - 2020,BRP,can-am DS 250 EFI 4X2 Quadr.,2020,R$ 31.054,00, 864005-0
BMW - S 1000 RR - 2013,BMW,S 1000 RR,2013,R$ 63.224,00, 803041-3
BULL - GTR 250 - 2019,BULL,GTR 250,2019,R$ 10.531,00, 888004-2
BULL - NOW 125 - 32000,BULL,NOW 125,32000,R$ 9.847,00, 888003-4
BULL - NOW 125 - 2019,BULL,NOW 125,2019,R$ 7.269,00, 888003-4
DAYUN - DY125T-10 - 2008,DAYUN,DY125T-10,2008,R$ 3.384,00, 860002-3
BULL - KRC F5-LX 50 - 2021,BULL,KRC F5-LX 50,2021,R$ 8.178,00, 888010-7
BULL - NOW 125 - 2020,BULL,NOW 125,2020,R$ 8.669,00, 888003-4
BULL - KRC F5-LX 50 - 2020,BULL,KRC F5-LX 50,2020,R$ 7.586,00, 888010-7
BULL - Ciclo City Veloce 1000W (Elétrica) - 2020,BULL,Ciclo City Veloce 1000W (Elétrica),2020,R$ 8.784,00, 888007-7
BULL - KRC F5-LX 50 - 32000,BULL,KRC F5-LX 50,32000,R$ 9.020,00, 888010-7
byCristo - Triciclo Star II Top / Super Top - 1999,byCristo,Triciclo Star II Top / Super Top,1999,R$ 13.157,00, 842003-3
APRILIA - RX 50cc - 1998,APRILIA,RX 50cc,1998,R$ 3.399,00, 802010-8
APRILIA - SCARABEO CLASSIC 50cc - 1998,APRILIA,SCARABEO CLASSIC 50cc,1998,R$ 2.774,00, 802012-4
BMW - R 1250 GS Premium Triple Black - 32000,BMW,R 1250 GS Premium Triple Black,32000,R$ 110.300,00, 803084-7
APRILIA - SCARABEO DELUXE 50cc - 1999,APRILIA,SCARABEO DELUXE 50cc,1999,R$ 3.782,00, 802013-2
BMW - R 1250 GS Premium Triple Black - 2022,BMW,R 1250 GS Premium Triple Black,2022,R$ 106.112,00, 803084-7
APRILIA - RX 50cc - 1999,APRILIA,RX 50cc,1999,R$ 4.226,00, 802010-8
APRILIA - RX 50cc - 2000,APRILIA,RX 50cc,2000,R$ 4.342,00, 802010-8
BMW - R 1250 GS Premium Triple Black - 2021,BMW,R 1250 GS Premium Triple Black,2021,R$ 103.352,00, 803084-7
APRILIA - SCARABEO CLASSIC 50cc - 2000,APRILIA,SCARABEO CLASSIC 50cc,2000,R$ 3.467,00, 802012-4
