Modelo,Cilindrada,Ano,Valor,valor_fipe,Url,Codigo,cod_fipe,Data,Marca,Quilometragem,diferença_fipe,Município
JONNY ,50,2013,2000,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/shineray-1034723657,1034723657,"[{'Codigo': '865012-8', 'id': 'JONNY - TEXAS 150cc', 'Valor': 3586}, {'Codigo': '865011-0', 'id': 'JONNY - RACER 150cc', 'Valor': 3546}, {'Codigo': '865009-8', 'id': 'JONNY - QUICK 150cc', 'Valor': 2959}, {'Codigo': '865014-4', 'id': 'JONNY - Meet 50cc', 'Valor': 2411}, {'Codigo': '865003-9', 'id': 'JONNY 50 49cc', 'Valor': 1944}, {'Codigo': '865008-0', 'id': 'JONNY - HYPE 50cc', 'Valor': 2366}]",20/05,JONNY,0,,São José da Lapa
YAMAHA XTZ 125 E,125,2007,3300,5962,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vendo-xtz-125-pra-trilha-1034722407,1034722407,"[{'Codigo': '827047-3', 'id': 'YAMAHA - XTZ 125 E', 'Valor': 5962}]",20/05,YAMAHA,10000000,,Belo Horizonte
HONDA CG 150 FAN ESI/ 150 FAN ESI FLEX,150,2010,9700,8554,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/honda-cg-fan-150-2010-2010-1034708794,1034708794,"[{'Codigo': '811101-4', 'id': 'HONDA - CG 150 FAN ESi/ 150 FAN ESi FLEX', 'Valor': 8554}]",20/05,HONDA,58865,,Contagem
YAMAHA FAZER,250,2008,8500,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fazer-2008-1034706677,1034706677,"[{'Codigo': '827052-0', 'id': 'YAMAHA - YS 250 FAZER/ FAZER L. EDITION /BLUEFLEX', 'Valor': 8713}, {'Codigo': '827051-1', 'id': 'YAMAHA - FAZER 600/ FZ6 S', 'Valor': 25963}]",20/05,YAMAHA,33000,,Contagem
YAMAHA NEO AT 115CC,125,2005,4450,4001,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/neo-05-biz-pop-100-115-125-cg-titan-bis-pcx-150-cripton-crypton-1034703569,1034703569,"[{'Codigo': '827049-0', 'id': 'YAMAHA - NEO AT 115cc', 'Valor': 4001}]",20/05,YAMAHA,50000,,Belo Horizonte
YAMAHA XTZ 125 E,125,2005,9000,4290,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/xtz-125-e-completa-1034698116,1034698116,"[{'Codigo': '827047-3', 'id': 'YAMAHA - XTZ 125 E', 'Valor': 4290}]",20/05,YAMAHA,33200,,Belo Horizonte
HONDA CG 125,125,2008,6000,5796,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-08-zeraaaaaa-vendo-1034697574,1034697574,"[{'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 5796}]",20/05,HONDA,29000,,Belo Horizonte
HONDA CG 150 TITAN-ES,150,2010,9500,8652.5,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-150-1034697007,1034697007,"[{'Codigo': '811093-0', 'id': 'HONDA - CG 150 TITAN-ESD MIX/FLEX', 'Valor': 8656}, {'Codigo': '811092-1', 'id': 'HONDA - CG 150 TITAN-ES MIX', 'Valor': 8649}]",20/05,HONDA,84000,,Belo Horizonte
YAMAHA YS 250 FAZER/ FAZER L. EDITION /BLUEFLEX,250,2005,7500,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fazer-250-2005-2006-1034694981,1034694981,"[{'Codigo': '827042-2', 'id': 'YAMAHA - YZ 250', 'Valor': 12472}, {'Codigo': '827051-1', 'id': 'YAMAHA - FAZER 600/ FZ6 S', 'Valor': 19587}]",20/05,YAMAHA,99000,,Sabará
HONDA CG 150 TITAN-ES,150,2007,8000,7797.0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/titan-150-1034694537,1034694537,"[{'Codigo': '811072-7', 'id': 'HONDA - CG 150 TITAN-ESD/ TITAN SPECIAL EDITION', 'Valor': 8031}, {'Codigo': '811071-9', 'id': 'HONDA - CG 150 TITAN-ES', 'Valor': 7563}]",20/05,HONDA,55555555,,Belo Horizonte
 ,150,2014,4900,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/scooter-automatica-150cc-desing-retro-estilo-vespa-lambreta-1034694483,1034694483,[],20/05,,12392,,Belo Horizonte
HONDA CG 150 FAN ESDI/ 150 FAN ESDI FLEX,160,2010,7000,8554,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/sooo-chama-1034693669,1034693669,"[{'Codigo': '811101-4', 'id': 'HONDA - CG 150 FAN ESi/ 150 FAN ESi FLEX', 'Valor': 8554}]",20/05,HONDA,3000,,Sabará
YAMAHA FAZER,250,2021,7900,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fazer-2021-1034690956,1034690956,"[{'Codigo': '827088-0', 'id': 'YAMAHA - YS 150 FAZER SED/ FLEX', 'Valor': 14574}, {'Codigo': '827117-8', 'id': 'YAMAHA - FZ25 250 FAZER PANTERA NEGRA FLEX', 'Valor': 21699}, {'Codigo': '827107-0', 'id': 'YAMAHA - FZ25 250 FAZER FLEX', 'Valor': 21356}, {'Codigo': '827116-0', 'id': 'YAMAHA - FZ25 250 FAZER CAPITÃ MARVEL FLEX', 'Valor': 21774}]",20/05,YAMAHA,9000,,Andiroba (Esmeraldas)
HONDA POP,100,2018,5500,8646,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/pop-110-2018-1034691025,1034691025,"[{'Codigo': '811132-4', 'id': 'HONDA - POP 110i', 'Valor': 8646}]",20/05,HONDA,21000,,Belo Horizonte
HONDA BIZ,125,2008,4900,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/biz-125-2008-1034690580,1034690580,"[{'Codigo': '811084-0', 'id': 'HONDA - BIZ 125+', 'Valor': 8284}, {'Codigo': '811079-4', 'id': 'HONDA - BIZ 125 KS/ KS F.INJ./KS MIX F.INJECTION', 'Valor': 7400}, {'Codigo': '811080-8', 'id': 'HONDA - BIZ 125 ES/ ES F.INJ./ES MIX F.INJECTION', 'Valor': 7538}]",20/05,HONDA,19293,,Belo Horizonte
HONDA CG 125 FAN / FAN KS / 125 I FAN,125,2013,7600,7152,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-ks-125-parcelo-no-cartao-12x-1034687693,1034687693,"[{'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 7152}]",20/05,HONDA,87000,,Contagem
DAFRA NEXT 250CC,250,2013,8450,8573,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/next-250-doc-ok-cb-300-twister-comet-fazer-cg-titan-xre-150-125-1034687541,1034687541,"[{'Codigo': '861016-9', 'id': 'DAFRA - NEXT 250cc', 'Valor': 8573}]",20/05,DAFRA,34200,,Belo Horizonte
